open,close,closeTime,close_ema,close_time_parsed
28923.63,28995.13,1609462799999,28995.13,2021-01-01 00:59:59
28995.13,29409.99,1609466399999,29327.018,2021-01-01 01:59:59
29410.0,29194.65,1609469999999,29226.16619047619,2021-01-01 02:59:59
29195.25,29278.4,1609473599999,29265.495176470587,2021-01-01 03:59:59
29278.41,29220.31,1609477199999,29231.573167155424,2021-01-01 04:59:59
29220.31,29187.01,1609480799999,29198.14263003663,2021-01-01 05:59:59
29187.01,29174.35,1609484399999,29180.29706830251,2021-01-01 06:59:59
29174.35,29092.83,1609487999999,29114.695766079192,2021-01-01 07:59:59
29092.84,29000.01,1609491599999,29028.681113399936,2021-01-01 08:59:59
29000.01,29202.21,1609495199999,29158.827902467638,2021-01-01 09:59:59
29202.21,29223.82,1609498799999,29207.571987238403,2021-01-01 10:59:59
29223.82,29313.49,1609502399999,29287.010501544508,2021-01-01 11:59:59
29313.49,29233.49,1609505999999,29246.870124787987,2021-01-01 12:59:59
29233.49,29464.79,1609509599999,29410.310031805857,2021-01-01 13:59:59
29464.79,29327.84,1609513199999,29348.45750789386,2021-01-01 14:59:59
29327.83,29188.67,1609516799999,29228.616876945558,2021-01-01 15:59:59
29188.67,29300.57,1609520399999,29282.58171923953,2021-01-01 16:59:59
29300.79,29079.64,1609523999999,29130.375429807667,2021-01-01 17:59:59
29077.59,29072.7,1609527599999,29087.11885745176,2021-01-01 18:59:59
29072.7,29029.04,1609531199999,29043.5597143629,2021-01-01 19:59:59
29029.04,29200.96,1609534799999,29161.609928590755,2021-01-01 20:59:59
29200.97,29160.39,1609538399999,29160.694982147692,2021-01-01 21:59:59
29163.17,29262.32,1609541999999,29236.91374553692,2021-01-01 22:59:59
29262.32,29331.69,1609545599999,29307.995936384228,2021-01-01 23:59:59
29331.7,29197.48,1609549199999,29225.108984096056,2021-01-02 00:59:59
29197.93,29359.47,1609552799999,29325.879746024013,2021-01-02 01:59:59
29359.46,29323.82,1609556399999,29324.334936506,2021-01-02 02:59:59
29323.82,29351.95,1609559999999,29345.046234126497,2021-01-02 03:59:59
29351.95,29349.63,1609563599999,29348.484058531627,2021-01-02 04:59:59
29349.63,29589.99,1609567199999,29529.61351463291,2021-01-02 05:59:59
29589.99,29709.07,1609570799999,29664.205878658227,2021-01-02 06:59:59
29709.06,29750.0,1609574399999,29728.551469664555,2021-01-02 07:59:59
29751.47,29844.51,1609577999999,29815.520367416135,2021-01-02 08:59:59
29844.52,29612.87,1609581599999,29663.532591854033,2021-01-02 09:59:59
