open,close,closeTime,close_ema,close_time_parsed
0.20625,0.30153,1610323199999,0.30153,2021-01-10 23:59:59
0.30154,0.38081,1610927999999,0.34683285714285716,2021-01-17 23:59:59
0.38077,0.35345,1611532799999,0.34969432432432435,2021-01-24 23:59:59
0.35346,0.34475,1612137599999,0.3478861142857143,2021-01-31 23:59:59
0.34464,0.66109,1612742399999,0.4505496158770807,2021-02-07 23:59:59
0.66109,0.84364,1613347199999,0.5700995277695278,2021-02-14 23:59:59
0.84288,1.09894,1613951999999,0.7226761689089244,2021-02-21 23:59:59
1.09955,1.31203,1614556799999,0.8864061081814328,2021-02-28 23:59:59
1.31279,1.13042,1615161599999,0.9523618471011833,2021-03-07 23:59:59
1.13073,1.05243,1615766399999,0.9788717512003211,2021-03-14 23:59:59
1.05241,1.18561,1616371199999,1.0328354787751637,2021-03-21 23:59:59
1.18561,1.18983,1616975999999,1.073368032522302,2021-03-28 23:59:59
1.18983,1.18206,1617580799999,1.1012022902001253,2021-04-04 23:59:59
1.18205,1.26355,1618185599999,1.1425255126799923,2021-04-11 23:59:59
1.26376,1.27693,1618790399999,1.1765817436243724,2021-04-18 23:59:59
1.27655,1.0913,1619395199999,1.1550454582357081,2021-04-25 23:59:59
1.091,1.3267,1619999999999,1.1982841163704712,2021-05-02 23:59:59
1.3267,1.7663,1620604799999,1.341093203512758,2021-05-09 23:59:59
1.7662,2.3002,1621209599999,1.5818880512960676,2021-05-16 23:59:59
2.3002,1.3139,1621814399999,1.5146779008405087,2021-05-23 23:59:59
1.3135,1.5751,1622419199999,1.5298194383988908,2021-05-30 23:59:59
1.5751,1.6771,1623023999999,1.5667053761827,2021-06-06 23:59:59
1.6771,1.5566,1623628799999,1.564175647727069,2021-06-13 23:59:59
1.5563,1.4263,1624233599999,1.5296721152517712,2021-06-20 23:59:59
1.4262,1.338,1624838399999,1.4817179988822624,2021-06-27 23:59:59
1.3379,1.4615,1625443199999,1.4766606447526225,2021-07-04 23:59:59
1.4615,1.3485,1626047999999,1.444606915038126,2021-07-11 23:59:59
1.3485,1.1813,1626652799999,1.378759281019722,2021-07-18 23:59:59
1.1814,1.2284,1627257599999,1.341160508141527,2021-07-25 23:59:59
1.2283,1.3142,1627862399999,1.3344191772251797,2021-08-01 23:59:59
1.3145,1.4255,1628467199999,1.357192433090609,2021-08-08 23:59:59
1.4256,2.1667,1629071999999,1.5595896561099685,2021-08-15 23:59:59
2.1667,2.7049,1629676799999,1.8459388154332192,2021-08-22 23:59:59
2.705,2.851,1630281599999,2.097218309994468,2021-08-29 23:59:59
2.85,2.91,1630886399999,2.3004223439509985,2021-09-05 23:59:59
2.911,2.581,1631491199999,2.3705689874884066,2021-09-12 23:59:59
2.58,2.283,1632095999999,2.3486762187401724,2021-09-19 23:59:59
2.283,2.207,1632700799999,2.313256530808715,2021-09-26 23:59:59
2.206,2.251,1633305599999,2.2976921894077034,2021-10-03 23:59:59
2.251,2.189,1633910399999,2.2705188687849645,2021-10-10 23:59:59
2.189,2.158,1634515199999,2.242388939420451,2021-10-17 23:59:59
2.158,2.12,1635119999999,2.211791531481029,2021-10-24 23:59:59
2.119,1.964,1635724799999,2.1498433857882144,2021-10-31 23:59:59
1.965,2.021,1636329599999,2.117632436847004,2021-11-07 23:59:59
2.02,2.04,1636934399999,2.098224281318179,2021-11-14 23:59:59
2.04,1.835,1637539199999,2.032418093205027,2021-11-21 23:59:59
1.835,1.594,1638143999999,1.9228134227713294,2021-11-28 23:59:59
1.595,1.378,1638748799999,1.78660992994963,2021-12-05 23:59:59
1.378,1.346,1639353599999,1.6764573642865115,2021-12-12 23:59:59
1.345,1.243,1639958399999,1.5680929618457757,2021-12-19 23:59:59
1.244,1.455,1640563199999,1.5398197093755155,2021-12-26 23:59:59
1.455,1.377,1641167999999,1.4991147690648363,2022-01-02 23:59:59
