openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
1609459200000,0.18134000,0.18473000,0.17673000,0.17950000,202267037.60000000,1609502399999,36612876.96595400,81192,100837098.80000000,18266366.77545200,0
1609502400000,0.17943000,0.18359000,0.17000000,0.17509000,259934533.30000000,1609545599999,46107590.04431300,97632,120873172.30000000,21458129.88060900,0
1609545600000,0.17505000,0.17618000,0.16793000,0.17204000,179607302.70000000,1609588799999,30969513.51396600,70130,85963960.20000000,14820901.91734600,0
1609588800000,0.17207000,0.18457000,0.17026000,0.17742000,480695978.50000000,1609631999999,86107767.01258800,161302,241508199.80000000,43295721.13416600,0
1609632000000,0.17740000,0.19420000,0.17255000,0.18882000,392208159.90000000,1609675199999,71154858.14137700,147746,200613335.60000000,36433651.22524300,0
1609675200000,0.18883000,0.20960000,0.18810000,0.20615000,809243289.40000000,1609718399999,159679761.33479580,256180,410846422.40000000,81134693.65364180,0
1609718400000,0.20625000,0.23992000,0.19203000,0.21194000,1001150671.50000000,1609761599999,216983430.67630270,380316,502345297.08000000,108991781.01948590,0
1609761600000,0.21203000,0.22602000,0.20345000,0.22528000,462264904.10000000,1609804799999,98316049.81514300,168320,239217810.10000000,50913617.49171800,0
1609804800000,0.22518000,0.23926000,0.20696000,0.23047000,660357577.50000000,1609847999999,147730884.35525000,250607,336788359.70000000,75471777.89706800,0
1609848000000,0.23047000,0.26429000,0.22422000,0.25873000,818530101.83000000,1609891199999,201978226.40697260,363778,410356344.03000000,101327809.42002080,0
1609891200000,0.25889000,0.29634000,0.25347000,0.29534000,764629918.71000000,1609934399999,208977265.84967440,373194,392817404.21000000,107428337.71766310,0
1609934400000,0.29549000,0.34772000,0.28800000,0.33309000,1294480124.05000000,1609977599999,402738422.21094010,520725,657129333.57000000,204472564.04154010,0
1609977600000,0.33311000,0.35530000,0.30613000,0.31198000,721693500.55000000,1610020799999,239094244.50843580,340837,359824849.55000000,119325591.95151580,0
1610020800000,0.31211000,0.33203000,0.27850000,0.29928000,689628198.00000000,1610063999999,214025588.12159900,313536,341782529.50000000,106165956.65638800,0
1610064000000,0.29917000,0.32165000,0.26175000,0.30857000,758517316.30000000,1610107199999,223371211.68806800,333786,377562459.10000000,111337803.34103300,0
1610107200000,0.30850000,0.31479000,0.28259000,0.30389000,525687933.10000000,1610150399999,156997091.29287300,198131,261884112.50000000,78281750.46586900,0
1610150400000,0.30392000,0.31572000,0.29583000,0.30977000,386710440.10000000,1610193599999,118213111.38668300,176277,199902258.20000000,61149068.97356100,0
1610193600000,0.30987000,0.33851000,0.30669000,0.33062000,433557010.60000000,1610236799999,141431000.69396100,188217,223005509.70000000,72737098.66633300,0
1610236800000,0.33062000,0.34120000,0.30389000,0.30743000,382800352.20000000,1610279999999,125259140.81792800,198683,190573558.30000000,62450090.54059000,0
1610280000000,0.30742000,0.32174000,0.27948000,0.30153000,525867243.80000000,1610323199999,160409747.52342800,211065,259042687.70000000,79122269.93054600,0
1610323200000,0.30154000,0.30397000,0.25950000,0.26629000,661708929.40000000,1610366399999,183318585.20983000,237152,325964262.40000000,90281390.93898900,0
1610366400000,0.26649000,0.27756000,0.22880000,0.27570000,877257494.90000000,1610409599999,223519722.18694300,300977,438177706.80000000,111821091.02890000,0
1610409600000,0.27563000,0.31442000,0.26280000,0.28779000,553554448.60000000,1610452799999,159280320.55913000,233228,277325521.30000000,79869390.15896800,0
1610452800000,0.28778000,0.30000000,0.26720000,0.28888000,505458796.20000000,1610495999999,144345747.29928900,189410,248390511.50000000,70991136.98811900,0
1610496000000,0.28875000,0.29687000,0.27000000,0.29080000,392177593.80000000,1610539199999,111528150.31138400,150708,193593498.90000000,55098753.20821900,0
1610539200000,0.29094000,0.31587000,0.28506000,0.31230000,323295518.10000000,1610582399999,96664563.59814600,145641,166610408.10000000,49838707.91678600,0
1610582400000,0.31246000,0.31885000,0.30034000,0.31221000,285678501.40000000,1610625599999,88633599.51747900,143724,143910261.20000000,44673698.49430000,0
1610625600000,0.31214000,0.32455000,0.29646000,0.31201000,370824172.60000000,1610668799999,115947644.61922100,148720,183232170.00000000,57330351.79244300,0
1610668800000,0.31203000,0.33225000,0.30712000,0.31881000,390337978.40000000,1610711999999,124513221.67908300,193845,200545541.00000000,64010596.33344800,0
1610712000000,0.31871000,0.32079000,0.27739000,0.30188000,463179424.40000000,1610755199999,140138568.62591100,189269,225031438.60000000,68084209.62857800,0
1610755200000,0.30189000,0.35416000,0.30186000,0.35379000,471410667.10000000,1610798399999,152904230.03147500,218776,247688469.30000000,80391015.63667000,0
1610798400000,0.35368000,0.36696000,0.33220000,0.35071000,748178376.13000000,1610841599999,263143019.17607450,332848,367013488.93000000,129160980.28957650,0
1610841600000,0.35057000,0.38888000,0.34076000,0.37639000,841704791.97000000,1610884799999,309742506.01882950,437410,428027630.13000000,157652970.67478360,0
1610884800000,0.37640000,0.39740000,0.36011000,0.38081000,580946047.32000000,1610927999999,220063837.17154580,301165,291338645.79000000,110437625.45966860,0
1610928000000,0.38077000,0.39724000,0.36413000,0.37208000,393680755.00000000,1610971199999,149236246.18470400,223729,192276146.70000000,72952747.00726700,0
1610971200000,0.37199000,0.37867000,0.36585000,0.37123000,243104715.40000000,1611014399999,90312716.26345500,121973,125010418.80000000,46451027.10187100,0
1611014400000,0.37132000,0.38299000,0.36200000,0.37792000,321410724.10000000,1611057599999,119459862.13399600,194112,159882680.70000000,59450336.37543700,0
1611057600000,0.37790000,0.39001000,0.36409000,0.36720000,285230818.90000000,1611100799999,106825394.40249300,175906,137781011.90000000,51655440.08748500,0
1611100800000,0.36720000,0.37406000,0.33477000,0.33778000,312756179.50000000,1611143999999,111172569.94307200,161375,145103829.90000000,51605724.87782500,0
1611144000000,0.33770000,0.37690000,0.33033000,0.37532000,343595335.00000000,1611187199999,121271472.06987600,185275,177473158.30000000,62674926.90616500,0
1611187200000,0.37548000,0.37945000,0.33600000,0.34416000,328249229.60000000,1611230399999,117022726.37403700,198387,155544693.60000000,55409973.70308500,0
1611230400000,0.34421000,0.34665000,0.30000000,0.30785000,474441338.90000000,1611273599999,156817867.80043400,214752,232984517.90000000,77101977.56627900,0
1611273600000,0.30786000,0.33683000,0.28000000,0.33106000,582878247.90000000,1611316799999,180727920.79113900,299876,286051582.80000000,88755240.39386800,0
1611316800000,0.33096000,0.35980000,0.33096000,0.34867000,315874040.10000000,1611359999999,109788487.62799200,165952,166262436.80000000,57735780.18937300,0
1611360000000,0.34842000,0.35763000,0.33541000,0.33739000,243995295.90000000,1611403199999,85117417.56956400,146920,118272959.30000000,41294001.46101600,0
1611403200000,0.33758000,0.35451000,0.33584000,0.34583000,174305652.80000000,1611446399999,60150117.74317600,93353,86578786.40000000,29878520.75825000,0
1611446400000,0.34575000,0.36926000,0.34064000,0.36571000,186638165.40000000,1611489599999,66034194.44494900,105437,92651796.40000000,32813264.75975400,0
1611489600000,0.36580000,0.36839000,0.33613000,0.35345000,271898055.20000000,1611532799999,95412945.64194900,129527,137712373.20000000,48320972.55187600,0
1611532800000,0.35346000,0.36391000,0.34752000,0.35668000,179171899.80000000,1611575999999,63981613.11134000,112550,87898954.80000000,31390709.04156400,0
1611576000000,0.35668000,0.36415000,0.34034000,0.34308000,228218909.70000000,1611619199999,80623207.45131500,109792,111978885.80000000,39577608.02261700,0
