openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,_
1609459200000,0.00467160,0.00500000,0.00460100,0.00489420,683634364.00000000,1609502399999,3321956.95223910,16582,337132567.00000000,1637330.77300330,0
1609502400000,0.00489110,0.00569700,0.00486320,0.00568000,2336083599.00000000,1609545599999,12250527.10301550,47537,1233812673.00000000,6473051.33935730,0
1609545600000,0.00567830,0.00797700,0.00552400,0.00726410,12293967448.00000000,1609588799999,84402841.62404270,226663,6200759450.00000000,42565346.92626610,0
1609588800000,0.00727660,0.01398800,0.00672000,0.01052640,34039379807.00000000,1609631999999,346839988.31184810,625971,16871673135.00000000,171903270.65210040,0
1609632000000,0.01052450,0.01333000,0.00926930,0.01312510,14420987053.00000000,1609675199999,164586991.08482410,363684,7196481849.00000000,82134449.38709320,0
1609675200000,0.01312480,0.01405000,0.00934400,0.00982090,15227821863.00000000,1609718399999,176853843.28210040,367421,7418323323.00000000,86444437.41925630,0
1609718400000,0.00981880,0.01151980,0.00760000,0.00886660,8330997487.00000000,1609761599999,79957846.34109190,206652,4171126497.00000000,40199567.45556990,0
1609761600000,0.00886660,0.01050000,0.00861350,0.00976130,5997031954.00000000,1609804799999,56775042.29241870,149858,3081874809.00000000,29207255.35872910,0
1609804800000,0.00977210,0.01028220,0.00885010,0.00991420,2903022988.00000000,1609847999999,27591938.24633510,76844,1480148856.00000000,14093352.95007420,0
1609848000000,0.00991900,0.01028220,0.00915000,0.00997000,2524112684.00000000,1609891199999,24303093.23290550,71042,1238680110.00000000,11936557.88270040,0
1609891200000,0.00997710,0.01100000,0.00962290,0.01027700,3566228483.00000000,1609934399999,36605643.64272390,95142,1772374546.00000000,18214261.80988970,0
1609934400000,0.01027560,0.01060000,0.00955210,0.01042000,2542666023.00000000,1609977599999,25878986.13288330,72450,1181053889.00000000,12042042.77228870,0
1609977600000,0.01041870,0.01057350,0.00982700,0.00999800,1613899971.00000000,1610020799999,16372251.43372530,48315,761237298.00000000,7725134.56061260,0
1610020800000,0.00999910,0.01046860,0.00879990,0.00974390,1910098043.00000000,1610063999999,18958970.78136050,59811,953499812.00000000,9478301.21335780,0
1610064000000,0.00975170,0.00990000,0.00880470,0.00963540,1299935960.00000000,1610107199999,12336926.79993780,40469,633952555.00000000,6019790.92084830,0
